id,label
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,1
483,0
484,0
485,1
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,0
527,1
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,0
541,0
542,1
543,1
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,0
552,1
553,0
554,0
555,1
556,1
557,0
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,0
591,0
592,1
593,1
594,1
595,0
596,1
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,1
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,1
637,1
638,1
639,1
640,0
641,0
642,0
643,1
644,0
645,1
646,0
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,0
659,0
660,0
661,0
662,1
663,1
664,0
665,1
666,1
667,0
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,0
678,0
679,1
680,0
681,1
682,1
683,1
684,1
685,0
686,1
687,1
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,1
753,0
754,1
755,1
756,1
757,0
758,0
759,0
760,0
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,1
772,1
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,0
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,0
796,1
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,0
805,0
806,0
807,1
808,1
809,1
810,1
811,0
812,0
813,0
814,1
815,1
816,0
817,0
818,0
819,1
820,1
821,0
822,1
823,0
824,1
825,0
826,1
827,1
828,0
829,0
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,0
838,0
839,1
840,0
841,1
842,1
843,0
844,1
